質問ID,カテゴリー,質問,回答,文字数,更新日時
q011,社会人初期,独立を決意するまでの心の変化と、最終的に起業を決断した決定的な出来事を教えてください。,"今まで書いたように独立起業でも創業でもないです。創業者は祖父の大桃正巳となっていますが、正巳じいちゃんも小出清掃社を経営していた藤岡則末さんから社名と車、お客様、電話番号まで頂いています。カンツー工業は父が創業ですし、サンアートも山宮相談役から購入した会社で、今の私が受け継いでいるのはすべて頂いたものです。
しかし、いつ継ぐことを覚悟したか？と言う質問に答えるとしたら「物心ついたときから」かもしれません。バイトを辞めて会社に入ったときもしっかりとした覚悟はありませんでしたが、ゆくゆくは継ぐことになるんだろうなと思っていました。はっきり継ぐことを覚悟したのは2019年にJCの理事長を経験し、組織のリーダーというものを経験したことで「自分だったらこう経営する」というイメージができ始め、親父も事業承継について少しずつ話し始めていました。決定的だったのは2020年のコロナでした。世の中の経済活動が止まり、会社も大打撃を受けていました。会社を存続するためには抜本的にやり方を変えなければなりませんでしたが、当時の親父のやり方は中途半端で、会社の経営を立て直すまでには至りませんでした。そこで幾ら提案しても却下され、焦る社員たちと動かない親父たちの間に挟まれ、また日々の激務に挟まれる形で私の心は疲弊していきました。そんな中、朝ある日起きあがれなくなったのです。",581,"2025-07-04 20:38:38"
q012,社会人初期,サラリーマン時代に学んだ最も重要なスキルや知識は何ですか？それが現在の経営にどう活きていますか？,"私が入社する前後に我が社は株式会社武蔵野さんのパートナー会員に入会して社員たちに各種セミナーに参加させるようになっていました。そして私は幸いなことに社内で一番お金をかけていただいていたので経営に関係する知識を頭や心でたくさん学ばさせてもらいました。そしてもう一つ良かったのはその学んだ知識をアウトプット（実践）することができるJCという組織に入っていたことです。
例えばEGやハーマンモデルと言う人の考え方を理解するためのツールはJCでも仕事でも活用していますし、手法ではなく背景や目的から意識するというのもJCの基本です。
資本関係がない人間にどう動いてもらうかというのも社員とは違う視点で勉強になる部分で、仕事にも活かせます。
どうしたら人が喜ぶか、仲良くなれるか、などJCで実践してきました。そして逆説的かもしれませんが、会社はすぐ潰れると言う意識を持てたのもJCのおかげかもしれません。全国各地のすごい先輩たちと出会えても、その人たちですら会社をつぶしてしまう人がいます。
また、人間関係でトラブルを起こしたり、逆にすごく成功している人たちなど、もし◯◯をしていたら自分もそうだったかもしれないと言うifの自分をたくさん見られるというのは面白いです。





",535,"2025-07-04 20:46:19"
q013,起業期,会社設立時の状況を詳しく教えてください。資本金、創業メンバー、最初の事務所、初受注までの苦労など。,"設立してないです。株式会社としての資本金は2000万円、最初の事務所は実家で、車庫は不動院と言う近くのお寺の木の下です笑
そこから実家の前に建屋を建てて本社にしましたが、廃棄物事業に参入することを機会に本社を移転し、元の本社は今は倉庫として使っています。",127,"2025-07-04 20:50:20"
q014,起業期,創業初期の最大の危機とそれをどう乗り越えたか、具体的なエピソードを教えてください。,"私が入社してからの経営上の最大の危機は施設維持課の独立統合でしょうか。それまで浄化槽や下水処理場などの管理をしていた部門ですが、親父が会長を務めていた会の事業としてゴウトクホウの推進というのがありました。それはこれからどうしても人口が減っていく中で、浄化槽などの仕事は減っていきます。しかし、それで単純に市の予算を減らされてしまうと最低限の維持に必要な予算すらなくなり、立ち行かなくなります。そのために浄化槽管理以外の仕事を市からいただく、そのかわり浄化槽や下水の維持管理は行うと言うのがゴウトクホウですが、その条件として市内の下水管理業者を統合するという流れになりました。
親父としてはその未来も見据えて廃棄物事業を始めていたのかもしれませんが、結果的に小出環境サービスの下水管理部門とその他事業部を分離する必要がありました。
しかし、それまでは下水管理部門が当社のメイン事業であり、他の部門はおまけのような立場、実際に分離してみたら残された廃棄物事業とカンツー事業は大赤字となりました。
その赤字期間は数年間続き、見通しの立たない暗黒期へと入ってしまったのです。
しかし、そこから価格の改善や環境整備、管理の強化、お客様との関係強化などにより、小出環境サービスは下水管理部門なしでも単独で採算が取れる会社となったのです。",562,"2025-07-04 20:59:04"
q015,起業期,最初の大口顧客獲得のエピソードと、信頼を勝ち取るために工夫したことを教えてください。,"私が記憶している大口のお客様の獲得のエピソードを書きます。それは、私が心を病んで休職してから復職し、半年程度経った頃でした。
その時私は長岡営業所にいて、長岡周辺のお客様を担当していました。そして、休職する前に学んでいた武蔵野さんの営業プログラムの内容を仕事に活かしていました。それはオリジナルチラシの作成で、お客様の声を活かして、お客様が不満に思っていることを当社ならこう解決できますというような内容です。私は持ち前の創作意欲の高さとパソコン好きのスキルを生かして、毎月チラシを作っては配っていました。そこで新潟市のお客様回りをすることにしたのですり新潟市の営業は横山さんに連れられて回ったり、福己さんに連れられて回ったりしていましたが、1人で回るというのはしていませんでした。そこで私は作ったばかりのチラシを手に、新潟市内のお客様を開拓しようと回り始めたのです。
そして回り始めて3軒目の東急コミュニティー様（当時はコミュニティワン様）に訪問したときです。東急コミュニティー様自体は同行営業の際に回っていたことはありますが、その時は名刺を渡す程度でした。その日、初めて当社のパンフレットとチラシを渡したところ、初めて奥の応接に通していただきました。そこで当社のパンフレットを開きながら高橋課長と皆川係長とお話させていただいたのを覚えています。何度か仕事をさせていただいているはずなのに、お二人の反応はまるで初めての会社を相手にするような態度で、車は何台あるの？作業員は何人いるの？などご質問していただきました。実はその時、東急コミュニティー様が依頼していた洗浄業者が経営上の問題から仕事ができなくなり、他の業者を探していたタイミングだったようです。その時にたまたま私がタイミングよく営業に行き、何やらちゃんとしてそうな会社だから話を聞いてくれたのです。本当に偶然ですが、やはり営業の大切さをしれたエピソードでした。そして弊社の仕事を体験したことで、今までの業者さんと比べて人数がいて作業が早い（今までの業者だと2週間かかる仕事を当社だと3日間で終わらせる）ことと、クレームも少ないことから、既存業者よりも高い価格でも当社のリピーターとなっていただいたのです。今ではコンスタントに大口物件を依頼していただける大切なお客さまです。",965,"2025-07-04 21:14:30"
q016,起業期,起業当時の廃棄物処理業界の状況と、そこで差別化を図った戦略を教えてください。,今もそうですが、魚沼市内に当社のようにさまざまな品目を取り扱える業者はいませんでした。そこに親父は目をつけたのだと思います。,62,"2025-07-04 21:15:47"
q017,成長期,従業員が10名、20名と増えていく過程での組織作りの苦労と工夫を教えてください。,"自分が経験したわけではないですが、親父の話だと14名の壁があったそうです。いくら忙しくて人を採用しても14名程度まで増えると誰かが辞めてしまう。そこから経営の勉強を始めたそうです。おそらくはそのくらいの人数が家族経営の限界人数だったのだと思います。
そこから少しずつ組織経営になる仕組みを入れ、武蔵野さんの指導などもありながら今は30名程度になっています。
ここからさらに増やしていくためには社員を育成し、権限移譲していくしかありません",218,"2025-07-04 21:18:40"
q018,成長期,売上が1億円を超えた時期の状況と、そこから4億円規模に成長するまでの転機となった出来事を教えてください。,わからない。,6,"2025-07-04 21:18:56"
q019,成長期,事業拡大期に直面した最大の経営危機と、それを乗り越えた方法を具体的に教えてください。,"親父や専務から何度も聞いた話だと災害対応が一番きつかったと言っていた 例えば 豪雨災害の時魚沼市内のも何箇所か浸水被害があり その時の廃棄物の受け入れが市のエコプラントだけでは手が回らず 当社にその集積場の管理の依頼が来た 売上としてはかなりのものだったということだったが そこの管理は本当に精神的にも肉体的にもハードで当時の小林正広さんは禁煙していたタバコを再開してしまったんだというエピソードを聞いたことがある",207,"2025-07-05 07:14:38"
q020,成長期,競合他社との差別化や、価格競争を避けるために実践してきた独自の戦略を教えてください。,"まだ完全ではないですが、原価計算法ではなく、当社が押し出せる価値を優先することだと思います。
他社と同じものだと当然価格で比較されます。しかし、違うもの（サービス）を売っていれば価格競争にはなりません。
だから、いくらで提供できるかではなく、当社なら何を提供できるかを先に考えなければいけません",147,"2025-07-04 21:22:15"
q021,現在・未来,現在の会社の強みと課題、そして今後5年間で実現したいビジョンを教えてください。,"魚沼市内にこんなに社員教育にお金をかけている会社はありません。
年間100万円もかけている会社すら珍しいですが、弊社の場合は1人60万円もかけています。2024年はかけすぎましたが笑
でも、社長になる前の自分がそうだったように、無駄な経費ではなく社長からの投資として皆さんには理解してもらいたいです。
それと、ITと環境整備（５sアクション）です。これも密接につながっています。市内の経営者ではまた調子に乗っているだけかもしれませんが一番ITに強いと自負しています。それを環境整備を使って社員たちにも少しずつ浸透させています。これはセットです。そしてゆくゆくは、社外にもこの強みを伝えていけたらと考えています。世の中の環境重視という流れは今後も続くと思いますので、それに対しても積極的に進めていき、波に乗りたいです。",358,"2025-07-04 21:27:36"
q022,現在・未来,環境規制の強化やSDGsの潮流の中で、廃棄物処理業界の未来をどう見ていますか？自社の取り組みも含めて。,"この波はどんどん強くなると考えています。田舎なのでまだ意識している方は少ないですが、確実に来ます。具体的には廃棄物を出すことが違法となる可能性だってあります。
その時に対応できるようにして地域のお客様を助けることが当社の担いだと考えています。
具体的には、ゴミではなく資源とする取り組みです。廃プラスチックや木くずはプラスチック燃料（RPF）に、生ごみなどもバイオマスプラントなど有効活用する方法はあります。まだ、その他衣料品や家電なども、リユースショップを開設し、運営していきたいです。
地域の事業者様をはじめとした皆様が困らないように準備を整えていきたいです。",282,"2025-07-04 21:34:48"
q023,現在・未来,後継者育成や事業承継についての考えと、具体的な準備状況を教えてください。,"後継者育成には、次世代幹部塾のような取り組みをしていきたいと考えています。
いままでは社長や上司が社員を指名して社員塾や幹部塾などに行かせてきましたが、今後は自主的に次の幹部になりたいという人を募って投資していきます。
日本人、特に魚沼の人たちは謙遜して一歩引くような人が多いですが、役が人を育てると言うJCの考え方も活用しながらどんどん若手を育成していきたいです。",183,"2025-07-04 21:34:04"
q024,現在・未来,これまでの経営者人生を振り返って、最も誇りに思うことと、やり残したことを教えてください。,"社長が一カ月会社にいなくても成り立つ組織をつくれたことです。
社員の理解と協力ありきですが、潰れない会社という経営の基本的な要素を考えれば、社長が会社にいないとダメな会社というのはリスクだと思います。
また、そうやって権限移譲することで社員のレベルも上がると思います。
やり残したことは、まだまだ自分自身学びが足りないですし、社員の育成もしていきたいです。
会社としてうん百億円目指すとかはないですが、地域として活気のある夢のある街を作りたいとは思っています。",230,"2025-07-04 21:37:58"
q025,現在・未来,同じ業界で起業を目指す若者へのメッセージと、成功するために必要な心構えを教えてください。,"ごみから資源へと言う流れは今後も加速すると思います。
地域や人類自分のために新たなやり方を開発し、発展させていくことはみんなの幸せのためだと思います。
今まで許可や慣例に守られてきた業界だからこそチャンスはあります。ぜひチャレンジしてみてください。
必要な心構えは、社長としては社員や関係する人への感謝、謝罪、お願い、社員としては素直挑戦感謝です。",174,"2025-07-04 21:41:09"
q026,幼少期,両親の職業や価値観が、あなたの「ものを大切にする」「環境を意識する」考え方にどのような影響を与えましたか？具体的なエピソードがあれば教えてください。,"物を大切にする環境を意識するという要素はうちの両親は自分も含めてないと思う母親は確かに自然というか お花だったり 植物を育てるのが好きで親父も 農作業は好きだけどもそれが自然を大切にする心 持ってるかというと 甚だ疑問がある 結局そういった きれいなきれいなところじゃなくて うちの家が じいちゃんや親父が仕事をしていたのは お客様のため まあ もちろん 自分の食い物のためもあるんだろうけど お客様のことを考えて初めて 続けてるって言うのがあるんだと思う だからこそ夜中の呼び出しても飛び出して行ったり 土曜日は日曜日だって仕事してたし 昼飯食う暇もなく仕事をしてたし その 頼られたところに答えるっていうのがうちの家系はあるんだと思います",321,"2025-07-05 11:43:48"
q027,幼少期,幼少期に経験した貧しさや不便さが、現在の事業における「無駄をなくす」「効率化する」という考え方にどうつながっていますか？,"うん 帰ったように自分は別に 幼少期の貧しさ というのは経験したことがないです まあ一般的な家庭だったと思います だから別に無駄をなくす という なんか意識とか効率化するっていう意識は特段 学んだ記憶がないです ただこれは 会社に入る前までの話で会社に入ってから 株式会社武蔵野 さんの 環境整備というものに触れて とにかく無駄をなくすとか効率化するというところは会社が徹底したので それによる影響が大きいのだと思います そこに それに加えて自分の性格は 何かを作り出す 創作意欲 っていうのが非常に高いので結果的に繋がったというのがあると思います",274,"2025-07-05 11:45:03"
q028,青年期,学生時代に経験したアルバイトや課外活動で、現在の経営に活きている具体的なスキルや考え方はありますか？,"まあその当時から結構やり取りするのは年配の人だったり年上の人がほぼほぼ だったので年上の一つのやり取りっていうのはあまり緊張 未だにあまり緊張しないでやれるかな という気がします あとはもちろん パソコンだったり it だったりプログラミング技術で技術というのはそういう時に育まれたかな と思いますんで 会社のシステム関係は全て自分が自作 自作したものを使っています。あとは 時間内に必ず終わらせる みたいなのもあったので そこら辺は追い詰められるとやるという性格にはつながってるかもしれません",247,"2025-07-05 11:46:41"
q029,青年期,思春期に感じた社会への疑問や憤りが、後の起業の原動力になったことはありますか？具体的なエピソードを教えてください。,"そもそも起業してないんで この質問に答えるべきではないかもしれませんが 社会への憤りっていうのも 当時はあったかもしれないけどそんななら幼稚な 本当に何の価値観もないようなところなので あんまり良い話はないと思います",108,"2025-07-05 11:47:51"
